Gender,age_group,N,Mean_Score,Std_Score,High_Depression_Pct
Male,45-49,1325.0,6.20525256551665,5.447293559970347,22.644558808124636
Male,50-54,1077.0,6.792822155553735,5.704367788827002,26.93365335952554
Male,55-59,1538.0,7.197225708954314,5.890590324225197,28.198674810991083
Male,60-64,1333.0,7.756756399445287,6.097143596309349,32.590735229506876
Male,65-69,884.0,8.069838905296324,6.058243785654339,33.28083912637928
Male,70-74,670.0,7.917514059871431,5.918276770831919,34.961023514041614
Male,75+,638.0,8.55664811411068,6.232722806104358,36.415021391425626
Female,45-49,1789.0,7.924255555998345,6.10515332513147,34.51131492673616
Female,50-54,1247.0,8.66405493862371,6.571423208261546,37.8820975543941
Female,55-59,1691.0,9.29336326943442,6.785359335378423,42.22122861698099
Female,60-64,1355.0,10.076286589775098,6.696146220125696,48.731956009017715
Female,65-69,851.0,10.265086235119078,6.767088141601449,49.57921512757167
Female,70-74,614.0,9.746364507691329,6.785972226575536,46.29678453045529
Female,75+,694.0,10.89784312100072,7.102434895790806,54.086960429371004
